year,id1,name,ip,w,l,sv,k,era,fip,hr,pWar
2022,12,Pesky Zub,31,1,5,0,15,7.68,9.11,9,5.0
2022,14,Ethan Schickert,29,5,1,0,17,10.38,10.51,12,4.0
2022,1,Sven Goose,29.2,3,2,0,28,12.95,10.62,14,4.0
2022,10,Hoag Braun,20.2,2,2,1,10,8.32,9.81,7,3.0
2022,8,Deer Hunt,20.2,4,0,0,16,5.20,10.51,9,2.8
2022,28,P Brain,20.2,0,5,1,20,19.41,14.77,16,1.4
2022,7,Ryan Rigatoni,10,1,1,0,3,14.70,13.50,6,0.9
2022,11,Boog Schickert,4,0,0,0,3,7.00,8.05,1,0.7
2022,45,Kaleb Baker,2,0,1,0,4,21.00,8.80,1,0.3
2022,15,Brock Deist,4,0,0,1,1,15.75,15.55,3,0.2
2022,30,Noot Pengu,2,0,0,0,2,21.00,17.30,2,0.1
2022,20,BB Pfaff,2.2,1,1,0,0,28.64,18.12,2,0.0
2022,23,Garry Bob,1,0,0,0,0,14.00,32.30,2,-0.2
2022,3,Rick Bonis,4,0,0,1,1,15.75,28.55,7,-0.6
