id1,name,ip,w,l,sv,SVO,BS,H,R,ER,BB,so,HBP,era,WHIP,fip,hra,war
28,P Brain,143.33,10,18,1,1,0,405,298,270,1,71,1,13.19,2.83,13.67,92,7.0
1,Sven Goose,130.1,12,12,0,0,0,417,294,260,0,79,2,13.99,3.21,13.48,84,6.6
12,Pesky Zub,81.33,6,8,0,0,0,196,125,119,1,41,1,10.24,2.42,12.52,45,6.5
14,Ethan Schickert,50.33,7,3,0,0,0,115,75,70,1,31,6,9.74,2.30,11.33,24,5.0
10,Hoag Braun,49,2,6,2,2,0,171,114,100,0,22,1,14.29,3.49,11.50,23,4.5
52,Sam Schodron,43.33,6,3,0,0,0,127,89,72,0,22,0,11.63,2.93,12.19,23,2.8
8,Deer Hunt,20.67,4,0,0,0,0,35,15,15,0,16,0,5.08,1.69,10.41,9,2.4
44,Ryan Monkey,27.67,3,1,0,0,0,57,40,37,1,12,0,9.36,2.10,10.71,11,2.3
61,Donny Weber,15,3,1,0,0,0,67,48,39,0,19,0,18.20,4.47,10.70,8,1.2
53,Joshua Baker,17.67,1,2,0,0,0,62,42,37,0,18,0,14.66,3.51,10.88,9,0.9
45,Kaleb Baker,17.33,2,3,1,1,0,57,44,38,0,11,0,15.35,3.29,14.03,12,0.9
7,Ryan Rigatoni,11,1,1,0,0,0,33,23,23,0,4,2,14.64,3.00,13.85,7,0.7
11,Boog Schickert,4,0,0,0,0,0,7,4,4,0,3,0,7.00,1.75,8.05,1,0.6
51,The Hound,6,1,0,0,0,0,12,7,7,0,1,0,8.17,2.00,10.30,2,0.6
32,Big Ted,23.33,3,3,0,0,0,79,61,60,0,15,0,18.00,3.39,16.16,20,0.5
20,BB Pfaff,10.33,1,3,0,0,0,44,37,37,0,3,0,25.07,4.26,20.82,12,0.4
15,Brock Deist,5.67,0,1,1,1,0,18,15,15,0,2,0,18.52,3.17,19.35,6,0.2
64,Dawson Rusch,2,1,0,0,0,0,6,3,2,0,2,0,7.00,3.00,10.80,1,0.2
65,Jack Lichwa,1,0,0,0,0,0,3,3,3,0,2,0,21.00,3.00,15.30,1,0.0
30,Noot Pengu,2,0,0,0,0,0,7,6,6,0,2,0,21.00,3.50,17.30,2,0.0
35,Charles Eckert,3,0,0,0,0,0,8,7,7,0,2,0,16.33,2.67,17.97,3,0.0
13.0,Garry Bob,7.0,2,0,2,4,2,22,18,15,1,1,0,15.00,3.29,25.01,10,-0.5
3,Rick Bonis,4.0,0,0,1,1,0,15,9,9,0,0,0,15.75,3.75,29.05,7,-0.7
34,Shawn Volesky,14.67,2,2,0,0,0,58,42,42,0,6,0,20.04,3.95,23.21,20,-1.2
