year,id1,name,ip,w,l,sv,k,era,fip,hr,pWar
2024,52,Sam Schodron,43.1,6,3,0,22.0,11.69,12.22,23,1.0
2024,28,P Brain,51.2,4,5,0,22.0,13.95,12.80,29,0.8
2024,44,Rhino Monkey,7,1,0,0,1.0,11.00,6.44,0,0.6
2024,61,Donny Weber,15,3,1,0,19,18.20,10.70,8,0.6
2024,53,Joshua Baker,11.2,1,1,0,15,16.25,10.59,6,0.5
2024,14,Ethan Schickert,6,0,1,0,6,7.00,10.80,3,0.2
2024,10,Hoag Braun,5.1,0,1,0,1,21.96,11.01,2,0.2
2024,13,Garry Bob,2,0,0,2,0,3.50,7.80,0,0.1
2024,64,Dawson Rusch,2,1,0,0,2,7.00,10.80,1,0.1
2024,20,BB Pfaff,6.2,0,1,0,3,18.06,13.72,4,0.0
2024,65,Jack Lichwa,1,0,0,0,2,21.00,15.30,1,0.0
2024,35,Charles Eckert,2,0,0,0,1,14.00,18.30,2,-0.1
2024,15,Brock Deist,2,0,1,0,0,21.00,19.30,2,-0.1
2024,45,Kaleb Baker,11.1,1,2,0,6,19.55,18.10,11,-0.5
2024,1,Sven Goose,36.1,2,4,0,11,13.96,15.77,28,-0.6
